hospital_name,city,state,county_name,hospital_overall_rating
SSM ST JOSEPH HOSPITAL WEST,LAKE SAINT LOUIS,Missouri,St. charles,4.0
REDLANDS COMMUNITY HOSPITAL,REDLANDS,California,San bernardino,4.0
CARSON VALLEY MEDICAL CENTER,GARDNERVILLE,Nevada,Douglas,3.0
HENDRY REGIONAL MEDICAL CENTER,CLEWISTON,Florida,Hendry,3.0
UCH-MEMORIAL HEALTH SYSTEM,COLORADO SPRINGS,Colorado,El paso,4.0
INTEGRIS HEALTH EDMOND,EDMOND,Oklahoma,Oklahoma,3.0
LITTLE COLORADO MEDICAL CENTER,WINSLOW,Arizona,Navajo,4.0
LAKE CUMBERLAND REGIONAL HOSPITAL,SOMERSET,Kentucky,Pulaski,2.0
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,California,Orange,4.0
MERCY HEALTH - URBANA HOSPITAL,URBANA,Ohio,Champaign,3.0
OSWEGO HOSPITAL,OSWEGO,New York,Oswego,3.0
NORTH CADDO MEDICAL CENTER,VIVIAN,Louisiana,Caddo,3.0
BERWICK HOSPITAL CENTER,BERWICK,Pennsylvania,Columbia,4.0
GREAT PLAINS HEALTH,NORTH PLATTE,Nebraska,Lincoln,3.0
SOUTHERN OHIO MEDICAL CENTER,PORTSMOUTH,Ohio,Scioto,3.0
BOURBON COMMUNITY HOSPITAL,PARIS,Kentucky,Bourbon,3.0
MARION REGIONAL MEDICAL CENTER,HAMILTON,Alabama,Marion,4.0
ROANE MEDICAL CENTER,HARRIMAN,Tennessee,Roane,2.0
MERCYONE WATERLOO MEDICAL CENTER,WATERLOO,Iowa,Black hawk,3.0
HOUSTON METHODIST SAN JACINTO HOSPITAL,BAYTOWN,Texas,Harris,3.0
MEMORIAL HOSPITAL,CARTHAGE,Illinois,Hancock,4.0
DOCTOR'S CENTER DE SAN JUAN,FERNANDEZ JUNCOS,Puerto Rico,San juan,1.0
MERCY MEDICAL CENTER,ROCKVILLE CENTRE,New York,Nassau,1.0
PROVIDENCE HOSPITAL,MOBILE,Alabama,Mobile,2.0
COMMUNITY MEDICAL CENTER,MISSOULA,Montana,Missoula,4.0
UNITY HOSPITAL,ROCHESTER,New York,Monroe,2.0
ST. PATRICK HOSPITAL,MISSOULA,Montana,Missoula,5.0
CITRUS MEMORIAL HOSPITAL,INVERNESS,Florida,Citrus,2.0
MOUNT CARMEL EAST & WEST,COLUMBUS,Ohio,Franklin,3.0
WILLIAMSON MEMORIAL HOSPITAL,WILLIAMSON,West Virginia,Mingo,3.0
GHS  LAURENS COUNTY MEMORIAL HOSPITAL,CLINTON,South Carolina,Laurens,4.0
ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,FORT WASHINGTON,Maryland,Prince georges,2.0
SWEETWATER HOSPITAL ASSOCIATION,SWEETWATER,Tennessee,Monroe,4.0
MERCYONE DES MOINES MEDICAL CENTER,DES MOINES,Iowa,Polk,3.0
FORT MEMORIAL HOSPITAL,FORT ATKINSON,Wisconsin,Jefferson,5.0
LISBON AREA HEALTH SERVICES,LISBON,North Dakota,Ransom,4.0
BELL HOSPITAL,ISHPEMING,Michigan,Marquette,4.0
MERCY HOSPITAL BERRYVILLE,BERRYVILLE,Arkansas,Carroll,3.0
ELKVIEW GENERAL HOSPTIAL,HOBART,Oklahoma,Kiowa,3.0
CASEY COUNTY HOSPITAL,LIBERTY,Kentucky,Casey,4.0
CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,WINDBER,Pennsylvania,Somerset,4.0
"PAGE MEMORIAL HOSPITAL, INC",LURAY,Virginia,Page,5.0
ASCENSION SETON HIGHLAND LAKES,BURNET,Texas,Burnet,4.0
STRONG MEMORIAL HOSPITAL,ROCHESTER,New York,Monroe,2.0
HANNIBAL REGIONAL HOSPITAL,HANNIBAL,Missouri,Marion,2.0
"CALDWELL MEMORIAL HOSPITAL, INC",COLUMBIA,Louisiana,Caldwell,4.0
"GENESIS MEDICAL CENTER, ALEDO",ALEDO,Illinois,Mercer,4.0
SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,BROOKLYN,New York,Kings,1.0
BAYFRONT HEALTH BROOKSVILLE,BROOKSVILLE,Florida,Hernando,1.0
SIBLEY MEMORIAL HOSPITAL,WASHINGTON,District of Columbia,The district,5.0
PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,California,Los angeles,5.0
STERLING REGIONAL MEDCENTER,STERLING,Colorado,Logan,3.0
SHASTA REGIONAL MEDICAL CENTER,REDDING,California,Shasta,3.0
ALLEGHENY VALLEY HOSPITAL,NATRONA,Pennsylvania,Allegheny,3.0
THOMAS MEMORIAL HOSPITAL,SOUTH CHARLESTON,West Virginia,Kanawha,3.0
ST JOSEPH'S HOSPITAL,CHIPPEWA FALLS,Wisconsin,Chippewa,4.0
ST VINCENT RANDOLPH HOSPITAL INC,WINCHESTER,Indiana,Randolph,4.0
FRISBIE MEMORIAL HOSPITAL,ROCHESTER,New Hampshire,Strafford,3.0
LARGO MEDICAL CENTER,LARGO,Florida,Pinellas,2.0
PARIS COMMUNITY HOSPITAL,PARIS,Illinois,Edgar,4.0
MOBILE INFIRMARY MEDICAL CENTER,MOBILE,Alabama,Mobile,2.0
LAKEVIEW MEDICAL CENTER OF RICE LAKE,RICE LAKE,Wisconsin,Barron,3.0
SOUTH PENINSULA HOSPITAL,HOMER,Alaska,Kenai peninsula,4.0
CRAWFORD COUNTY MEMORIAL HOSPITAL,DENISON,Iowa,Crawford,2.0
CLEVELAND CLINIC,CLEVELAND,Ohio,Cuyahoga,5.0
SPARROW CLINTON HOSPITAL,SAINT JOHNS,Michigan,Clinton,3.0
NEWPORT MEDICAL CENTER,NEWPORT,Tennessee,Cocke,4.0
GOLDEN VALLEY MEMORIAL HOSPITAL,CLINTON,Missouri,Henry,3.0
SETON MEDICAL CENTER WILLIAMSON,ROUND ROCK,Texas,Williamson,3.0
OCHSNER LSU HEALTH MONROE,MONROE,Louisiana,Ouachita,3.0
HOUSTON METHODIST WILLOWBROOK HOSPITAL,HOUSTON,Texas,Harris,4.0
PROVIDENCE HOLY FAMILY HOSPITAL,SPOKANE,Washington,Spokane,3.0
ST CHARLES PRINEVILLE,PRINEVILLE,Oregon,Crook,4.0
BARRETT HOSPITAL & HEALTHCARE,DILLON,Montana,Beaverhead,4.0
FANNIN REGIONAL HOSPITAL,BLUE RIDGE,Georgia,Fannin,4.0
ASHLEY COUNTY MEDICAL CENTER,CROSSETT,Arkansas,Ashley,3.0
ASTRIA REGIONAL MEDICAL CENTER,YAKIMA,Washington,Yakima,2.0
SSM ST CLARE HEALTH CENTER,FENTON,Missouri,Jefferson,4.0
KITTITAS VALLEY COMMUNITY HOSPITAL,ELLENSBURG,Washington,Kittitas,4.0
"KAISER FOUNDATION HOSPITAL, RIVERSIDE",RIVERSIDE,California,Riverside,4.0
SCHNECK MEDICAL CENTER,SEYMOUR,Indiana,Jackson,5.0
BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,Arkansas,Faulkner,4.0
RUMFORD  HOSPITAL,RUMFORD,Maine,Oxford,4.0
STEPHENS MEMORIAL HOSPITAL,BRECKENRIDGE,Texas,Stephens,4.0
LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,Alabama,Tallapoosa,3.0
HILLCREST HOSPITAL,MAYFIELD HEIGHTS,Ohio,Cuyahoga,5.0
RENOWN SOUTH MEADOWS MEDICAL CENTER,RENO,Nevada,Washoe,4.0
METHODIST HOSPITAL OF SOUTHERN CA,ARCADIA,California,Los angeles,2.0
ST FRANCIS HOSPITAL - THE HEART CENTER,ROSLYN,New York,Nassau,5.0
SALEM TOWNSHIP HOSPITAL,SALEM,Illinois,Marion,4.0
MOUNT SINAI SOUTH NASSAU,OCEANSIDE,New York,Nassau,2.0
MEDSTAR MONTGOMERY MEDICAL CENTER,OLNEY,Maryland,Montgomery,3.0
HCA HOUSTON HEALTHCARE NORTHWEST,HOUSTON,Texas,Harris,3.0
PARK PLAZA HOSPITAL,HOUSTON,Texas,Harris,5.0
SPRINGHILL MEDICAL CENTER,MOBILE,Alabama,Mobile,2.0
GEORGE L MEE MEMORIAL HOSPITAL,KING CITY,California,Monterey,3.0
PARKVIEW WHITLEY HOSPITAL,COLUMBIA CITY,Indiana,Whitley,3.0
CROSSING RIVERS HEALTH MEDICAL CENTER,PRAIRIE DU CHIEN,Wisconsin,Crawford,4.0
METHODIST HOSPITAL,SAN ANTONIO,Texas,Bexar,3.0
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,Alabama,Montgomery,2.0
HOLY CROSS GERMANTOWN HOSPITAL,GERMANTOWN,Maryland,Montgomery,3.0
HOLTON COMMUNITY HOSPITAL,HOLTON,Kansas,Jackson,3.0
VALLEY HOSPITAL,RIDGEWOOD,New Jersey,Bergen,4.0
HOUSTON METHODIST ST JOHN HOSPITAL,NASSAU BAY,Texas,Harris,3.0
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,LA JOLLA,California,San diego,5.0
VALLEY MEDICAL CENTER,RENTON,Washington,King,5.0
NORTH FLORIDA REGIONAL MEDICAL CENTER,GAINESVILLE,Florida,Alachua,2.0
"COMMUNITY HOSPITAL, LLC",OKLAHOMA CITY,Oklahoma,Oklahoma,5.0
ENCINO HOSPITAL MEDICAL CENTER,ENCINO,California,Los angeles,3.0
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,Alabama,Jefferson,3.0
ST ELIZABETH'S MEDICAL CENTER,BRIGHTON,Massachusetts,Suffolk,2.0
WASHINGTON HEALTH SYSTEM GREENE,WAYNESBURG,Pennsylvania,Greene,3.0
COASTAL CAROLINA HOSPITAL,HARDEEVILLE,South Carolina,Jasper,3.0
MCLAREN NORTHERN MICHIGAN,PETOSKEY,Michigan,Emmet,5.0
BUENA VISTA REGIONAL MEDICAL CENTER,STORM LAKE,Iowa,Buena vista,4.0
MAD RIVER COMMUNITY HOSPITAL,ARCATA,California,Humboldt,4.0
ST JOSEPHS COMMUNITY HOSPITAL WEST BEND,WEST BEND,Wisconsin,Washington,4.0
LAKE HURON MEDICAL CENTER,PORT HURON,Michigan,St. clair,5.0
VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,MOUNT HOLLY,New Jersey,Burlington,2.0
ALTA VIEW HOSPITAL,SANDY,Utah,Salt lake,5.0
JEFFERSON COMMUNITY HEALTH & LIFE,FAIRBURY,Nebraska,Jefferson,4.0
ALLIANCEHEALTH MIDWEST,MIDWEST CITY,Oklahoma,Oklahoma,2.0
ADVOCATE SHERMAN HOSPITAL,ELGIN,Illinois,Kane,5.0
COVENANT MEDICAL CENTER,SAGINAW,Michigan,Saginaw,2.0
LOYOLA UNIVERSITY MEDICAL CENTER,MAYWOOD,Illinois,Cook,2.0
COPLEY HOSPITAL,MORRISVILLE,Vermont,Lamoille,3.0
HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,WESTWOOD,New Jersey,Bergen,3.0
PEKIN MEMORIAL HOSPITAL,PEKIN,Illinois,Tazewell,2.0
AULTMAN ORRVILLE HOSPITAL,ORRVILLE,Ohio,Wayne,3.0
KERN VALLEY HEALTHCARE DISTRICT,LAKE ISABELLA,California,Kern,3.0
GREENWICH HOSPITAL ASSOCIATION -,GREENWICH,Connecticut,Fairfield,4.0
PROMEDICA DEFIANCE REGIONAL HOSPITAL,DEFIANCE,Ohio,Defiance,4.0
INTEGRIS MIAMI HOSPITAL,MIAMI,Oklahoma,Ottawa,3.0
MT. GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,Arizona,Graham,3.0
PRISMA HEALTH RICHLAND HOSPITAL,COLUMBIA,South Carolina,Richland,2.0
PRISMA HEATH TUOMEY HOSPITAL,SUMTER,South Carolina,Sumter,2.0
NYU WINTHROP HOSPITAL,MINEOLA,New York,Nassau,3.0
BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE,SUNNYVALE,Texas,Dallas,3.0
AURORA SOUTH HOSPITAL AND MEDICAL CENTER,AURORA,Colorado,Arapahoe,5.0
THE MEDICAL CENTER (BOWLING GREEN),BOWLING GREEN,Kentucky,Warren,1.0
GRUNDY COUNTY MEMORIAL HOSPITAL,GRUNDY CENTER,Iowa,Grundy,4.0
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",BEATRICE,Nebraska,Gage,4.0
WEEKS MEDICAL CENTER,LANCASTER,New Hampshire,Coos,4.0
STORMONT VAIL HOSPITAL,TOPEKA,Kansas,Shawnee,3.0
TITUS REGIONAL MEDICAL CENTER,MOUNT PLEASANT,Texas,Titus,3.0
"TY COBB REGIONAL MEDICAL CENTER, LLC",LAVONIA,Georgia,Franklin,3.0
FAIRVIEW PARK HOSPITAL,DUBLIN,Georgia,Laurens,4.0
NOVANT HEALTH FORSYTH MEDICAL CENTER,WINSTON-SALEM,North Carolina,Forsyth,3.0
MARY RUTAN HOSPITAL,BELLEFONTAINE,Ohio,Logan,4.0
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,FORT WORTH,Texas,Tarrant,5.0
JACKSON GENERAL HOSPITAL,RIPLEY,West Virginia,Jackson,4.0
ST LUKE'S MCCALL,MCCALL,Idaho,Valley,4.0
OAKDALE COMMUNITY HOSPITAL,OAKDALE,Louisiana,Allen,2.0
ST MARYS HOSPITAL,DECATUR,Illinois,Macon,2.0
LOVELACE REGIONAL HOSPITAL - ROSWELL,ROSWELL,New Mexico,Chaves,3.0
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,Alabama,Escambia,3.0
LAKE REGION HEALTHCARE CORPORATION,FERGUS FALLS,Minnesota,Otter tail,4.0
HUDSON HOSPITAL,HUDSON,Wisconsin,St. croix,5.0
HEDRICK MEDICAL CENTER,CHILLICOTHE,Missouri,Livingston,3.0
UPLAND HILLS HEALTH,DODGEVILLE,Wisconsin,Iowa,5.0
ASHE MEMORIAL HOSPITAL,JEFFERSON,North Carolina,Ashe,4.0
PIH HOSPITAL - DOWNEY,DOWNEY,California,Los angeles,2.0
PIEDMONT ROCKDALE HOSPITAL,CONYERS,Georgia,Rockdale,1.0
HILLCREST HOSPITAL PRYOR,PRYOR,Oklahoma,Mayes,4.0
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,VALLEJO,California,Solano,4.0
SOUTHEASTHEALTH,CAPE GIRARDEAU,Missouri,Cape girardeau,1.0
TUALITY COMMUNITY HOSPITAL,HILLSBORO,Oregon,Washington,3.0
WESTERN MARYLAND REGIONAL MEDICAL CENTER,CUMBERLAND,Maryland,Allegany,2.0
NORTHSIDE HOSPITAL GWINNETT,LAWRENCEVILLE,Georgia,Gwinnett,3.0
OUACHITA COUNTY MEDICAL CENTER,CAMDEN,Arkansas,Ouachita,4.0
SOIN MEDICAL CENTER,BEAVER CREEK,Ohio,Greene,3.0
DOCTORS HOSPITAL,COLUMBUS,Ohio,Franklin,4.0
CARRIS HEALTH LLC,WILLMAR,Minnesota,Kandiyohi,4.0
NOVANT HEALTH UVA HEALTH SYSTEM CULPEPER MED CENTE,CULPEPER,Virginia,Culpeper,4.0
HARRISON MEMORIAL HOSPITAL,CYNTHIANA,Kentucky,Harrison,4.0
LAKELAND REGIONAL MEDICAL CENTER,LAKELAND,Florida,Polk,1.0
FOSTORIA COMMUNITY HOSPITAL,FOSTORIA,Ohio,Seneca,3.0
ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,DULUTH,Minnesota,St. louis,4.0
VIDANT BEAUFORT HOSPITAL,WASHINGTON,North Carolina,Beaufort,3.0
WAYNE MEDICAL CENTER,WAYNESBORO,Tennessee,Wayne,4.0
COLORADO PLAINS MEDICAL CENTER,FORT MORGAN,Colorado,Morgan,3.0
LUTHERAN HOSPITAL OF INDIANA,FORT WAYNE,Indiana,Allen,2.0
ORANGE PARK MEDICAL CENTER,ORANGE PARK,Florida,Clay,2.0
ALLIANCE COMMUNITY HOSPITAL,ALLIANCE,Ohio,Stark,4.0
JONES REGIONAL MEDICAL CENTER,ANAMOSA,Iowa,Jones,5.0
CENTRA BEDFORD MEMORIAL HOSPITAL,BEDFORD,Virginia,Bedford,4.0
CALDWELL MEMORIAL HOSPITAL,LENOIR,North Carolina,Caldwell,3.0
REGIONAL HEALTH STURGIS HOSPITAL,STURGIS,South Dakota,Meade,4.0
UNIVERSITY OF MARYLAND MEDICAL CENTER,BALTIMORE,Maryland,Baltimore city,1.0
COMANCHE COUNTY MEMORIAL HOSPITAL,LAWTON,Oklahoma,Comanche,1.0
ASCENSION RIVER DISTRICT HOSPITAL,EAST CHINA,Michigan,St. clair,4.0
SPECTRUM HEALTH BIG RAPIDS HOSPITAL,BIG RAPIDS,Michigan,Mecosta,4.0
TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH,FORT WORTH,Texas,Tarrant,2.0
PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,ELGIN,Illinois,Kane,3.0
"DOCTORS HOSPITAL OF RIVERSIDE, LLC",RIVERSIDE,California,Riverside,1.0
SISTERS OF CHARITY HOSPITAL,BUFFALO,New York,Erie,2.0
REGIONAL MEDICAL CENTER,MANCHESTER,Iowa,Delaware,4.0
MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL,COLDWATER,Ohio,Mercer,5.0
ARROWHEAD HOSPITAL,GLENDALE,Arizona,Maricopa,2.0
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,NAPLES,Florida,Collier,2.0
KUAKINI MEDICAL CENTER,HONOLULU,Hawaii,Honolulu,4.0
MCLAREN LAPEER REGION,LAPEER,Michigan,Lapeer,3.0
ST JOSEPH MERCY CHELSEA,CHELSEA,Michigan,Washtenaw,5.0
BRONSON BATTLE CREEK HOSPITAL,BATTLE CREEK,Michigan,Calhoun,4.0
PRESBYTERIAN ESPANOLA HOSPITAL,ESPANOLA,New Mexico,Rio arriba,4.0
CUYUNA REGIONAL MEDICAL CENTER,CROSBY,Minnesota,Crow wing,4.0
SEVIER VALLEY HOSPITAL,RICHFIELD,Utah,Sevier,5.0
SAINT FRANCIS MEDICAL CENTER,CAPE GIRARDEAU,Missouri,Cape girardeau,4.0
CARY MEDICAL CENTER,CARIBOU,Maine,Aroostook,3.0
ATRIUM HEALTH KINGS MOUNTAIN,KINGS MOUNTAIN,North Carolina,Cleveland,5.0
FRANKLIN WOODS COMMUNITY HOSPITAL,JOHNSON CITY,Tennessee,Washington,4.0
NORTH OKALOOSA MEDICAL CENTER,CRESTVIEW,Florida,Okaloosa,3.0
COX MEDICAL CENTERS,SPRINGFIELD,Missouri,Greene,2.0
WEST ALLIS MEMORIAL HOSPITAL,WEST ALLIS,Wisconsin,Milwaukee,3.0
MERCY WALWORTH HOSPITAL & MEDICAL CENTER,LAKE GENEVA,Wisconsin,Walworth,4.0
MERCY GILBERT MEDICAL CENTER,GILBERT,Arizona,Maricopa,4.0
NORTH COLORADO MEDICAL CENTER,GREELEY,Colorado,Weld,4.0
PENN PRESBYTERIAN MEDICAL CENTER,PHILADELPHIA,Pennsylvania,Philadelphia,4.0
UH GENEVA MEDICAL CENTER,GENEVA,Ohio,Ashtabula,5.0
ST GABRIELS HOSPITAL,LITTLE FALLS,Minnesota,Morrison,3.0
OSF SAINT LUKES MEDICAL CENTER,KEWANEE,Illinois,Henry,4.0
TYLER COUNTY HOSPITAL,WOODVILLE,Texas,Tyler,3.0
MACNEAL  HOSPITAL,BERWYN,Illinois,Cook,2.0
UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,SYRACUSE,New York,Onondaga,2.0
MERCY HOSPITAL NORTHWEST ARKANSAS,ROGERS,Arkansas,Benton,5.0
FREDERICK HEALTH HOSPITAL,FREDERICK,Maryland,Frederick,2.0
LAIRD HOSPITAL INC,UNION,Mississippi,Neshoba,3.0
CHENANGO MEMORIAL HOSPITAL,NORWICH,New York,Chenango,2.0
MELROSEWAKEFIELD HEALTHCARE,MELROSE,Massachusetts,Middlesex,1.0
"DEWITT HOSPITAL & NURSING HOME, INC",DE WITT,Arkansas,Arkansas,3.0
MASSENA MEMORIAL HOSPITAL,MASSENA,New York,St. lawrence,3.0
HOLYOKE MEDICAL CENTER,HOLYOKE,Massachusetts,Hampden,3.0
S E LACKEY MEMORIAL HOSPITAL,FOREST,Mississippi,Scott,3.0
PLATTE COUNTY MEMORIAL HOSPITAL,WHEATLAND,Wyoming,Platte,3.0
"BAILEY MEDICAL CENTER, LLC",OWASSO,Oklahoma,Tulsa,4.0
THE MONROE CLINIC,MONROE,Wisconsin,Green,5.0
TUG VALLEY ARH REGIONAL MEDICAL CENTER,SOUTH WILLIAMSON,Kentucky,Pike,2.0
MARY HITCHCOCK MEMORIAL HOSPITAL,LEBANON,New Hampshire,Grafton,4.0
ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,Connecticut,Tolland,2.0
RIVERVIEW MEDICAL CENTER,RED BANK,New Jersey,Monmouth,3.0
OHIO STATE UNIVERSITY STATE HEALTH SYSTEM,COLUMBUS,Ohio,Franklin,3.0
DYERSBURG REGIONAL MEDICAL CENTER,DYERSBURG,Tennessee,Dyer,2.0
PERRY HOSPITAL,PERRY,Georgia,Houston,4.0
HERINGTON MUNICIPAL HOSPITAL,HERINGTON,Kansas,Dickinson,4.0
MARINERS HOSPITAL,TAVERNIER,Florida,Monroe,5.0
MARSHALL MEDICAL CENTER,PLACERVILLE,California,El dorado,3.0
WILKES-BARRE GENERAL HOSPITAL,WILKES-BARRE,Pennsylvania,Luzerne,1.0
PINNACLE HOSPITAL,CROWN POINT,Indiana,Lake,4.0
RUTLAND REGIONAL MEDICAL CENTER,RUTLAND,Vermont,Rutland,4.0
GREENE MEMORIAL HOSPITAL,XENIA,Ohio,Greene,4.0
BOONE COUNTY HEALTH CENTER,ALBION,Nebraska,Boone,5.0
NORTHSIDE HOSPITAL CHEROKEE,CANTON,Georgia,Cherokee,2.0
RIVERSIDE WALTER REED HOSPITAL,GLOUCESTER,Virginia,Gloucester,3.0
ADVOCATE CONDELL MEDICAL CENTER,LIBERTYVILLE,Illinois,Lake,4.0
PLAINVIEW HOSPITAL,PLAINVIEW,New York,Nassau,3.0
KAISER FOUNDATION HOSPITAL FONTANA,FONTANA,California,San bernardino,2.0
NANTUCKET COTTAGE HOSPITAL,NANTUCKET,Massachusetts,Nantucket,3.0
ASCENSION ST VINCENT'S SOUTHSIDE,JACKSONVILLE,Florida,Duval,4.0
INTEGRIS GROVE HOSPITAL,GROVE,Oklahoma,Delaware,3.0
POINCIANA MEDICAL CENTER,KISSIMMEE,Florida,Osceola,2.0
THREE RIVERS HEALTH,THREE RIVERS,Michigan,St. joseph,3.0
EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,STANFORD,Kentucky,Lincoln,3.0
BETH ISRAEL DEACONESS HOSPITAL - MILTON,MILTON,Massachusetts,Norfolk,3.0
BLUFFTON REGIONAL MEDICAL CENTER,BLUFFTON,Indiana,Wells,4.0
UNITYPOINT HEALTH - DES MOINES IOWA LUTHERAN,DES MOINES,Iowa,Polk,4.0
UNIVERSITY OF MICHIGAN HEALTH SYSTEM,ANN ARBOR,Michigan,Washtenaw,5.0
BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,Arkansas,Baxter,2.0
SETON NORTHWEST HOSPITAL,AUSTIN,Texas,Travis,4.0
PLAINS REGIONAL MEDICAL CENTER,CLOVIS,New Mexico,Curry,3.0
ST VINCENT MERCY HOSPITAL,ELWOOD,Indiana,Madison,4.0
DAMERON HOSPITAL,STOCKTON,California,San joaquin,3.0
PIONEERS MEMORIAL HEALTHCARE DISTRICT,BRAWLEY,California,Imperial,1.0
RUSSELLVILLE HOSPITAL,RUSSELLVILLE,Alabama,Franklin,4.0
ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM,California,Orange,2.0
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,Alabama,Shelby,2.0
SUSAN B ALLEN MEMORIAL HOSPITAL,EL DORADO,Kansas,Butler,2.0
OHIO VALLEY MEDICAL CENTER,WHEELING,West Virginia,Ohio,2.0
PHELPS COUNTY REGIONAL MEDICAL CENTER,ROLLA,Missouri,Phelps,3.0
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,MALVERN,Arkansas,Hot spring,4.0
YORK HOSPITAL,YORK,Maine,York,5.0
MARCUS DALY MEMORIAL HOSPITAL - CAH,HAMILTON,Montana,Ravalli,3.0
NORTH VISTA HOSPITAL,NORTH LAS VEGAS,Nevada,Clark,3.0
ALLIANCEHEALTH CLINTON,CLINTON,Oklahoma,Custer,3.0
SAMARITAN HOSPITAL,MOSES LAKE,Washington,Grant,4.0
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,SYLMAR,California,Los angeles,2.0
NORTHEASTERN NEVADA REGIONAL HOSPITAL,ELKO,Nevada,Elko,3.0
AVERA ST MARY'S HOSPITAL,PIERRE,South Dakota,Hughes,5.0
THE HEART HOSPITAL BAYLOR DENTON,DENTON,Texas,Denton,5.0
LONG ISLAND COMMUNITY HOSPITAL,PATCHOGUE,New York,Suffolk,1.0
JFK MEDICAL CENTER,ATLANTIS,Florida,Palm beach,1.0
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,Alabama,Baldwin,5.0
UPSON REGIONAL MEDICAL CENTER,THOMASTON,Georgia,Upson,2.0
ST MICHAEL'S HOSPITAL,STEVENS POINT,Wisconsin,Portage,5.0
MERCY HOSPITAL,BAKERSFIELD,California,Kern,1.0
ANMED HEALTH,ANDERSON,South Carolina,Anderson,3.0
THE NEBRASKA METHODIST HOSPITAL,OMAHA,Nebraska,Douglas,4.0
TRIDENT MEDICAL CENTER,CHARLESTON,South Carolina,Charleston,1.0
MERCY HEALTH-ANDERSON HOSPITAL,CINCINNATI,Ohio,Hamilton,4.0
MAT-SU REGIONAL MEDICAL CENTER,PALMER,Alaska,Matanuska-susitna,3.0
MERCY MEDICAL CENTER OF MT SHASTA,MOUNT SHASTA,California,Siskiyou,4.0
PENINSULA MEDICAL CENTER,BURLINGAME,California,San mateo,5.0
DOCTORS HOSPITAL,AUGUSTA,Georgia,Richmond,2.0
VOLUNTEER COMMUNITY HOSPITAL,MARTIN,Tennessee,Weakley,3.0
HOWARD MEMORIAL HOSPITAL,NASHVILLE,Arkansas,Howard,4.0
WAYNE COUNTY HOSPITAL,CORYDON,Iowa,Wayne,4.0
KENMORE MERCY HOSPITAL,KENMORE,New York,Erie,3.0
SALEM MEDICAL CENTER,SALEM,New Jersey,Salem,1.0
MERCY REGIONAL MEDICAL CENTER,LORAIN,Ohio,Lorain,4.0
FIRSTHEALTH MOORE REGIONAL HOSPITAL,PINEHURST,North Carolina,Moore,4.0
ANDERSON HOSPITAL,MARYVILLE,Illinois,Madison,4.0
COVENANT HOSPITAL PLAINVIEW,PLAINVIEW,Texas,Hale,5.0
MANATI MEDICAL CENTER DR OTERO LOPEZ,MANATI,Puerto Rico,Manati,2.0
OPELOUSAS GENERAL HEALTH SYSTEM,OPELOUSAS,Louisiana,St. landry,3.0
METHODIST MANSFIELD MEDICAL CENTER,MANSFIELD,Texas,Tarrant,5.0
ST MARY'S HEALTHCARE,AMSTERDAM,New York,Montgomery,3.0
THOREK MEMORIAL HOSPITAL,CHICAGO,Illinois,Cook,3.0
ORLANDO HEALTH SOUTH LAKE HOSPITAL,CLERMONT,Florida,Lake,4.0
UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON,GALVESTON,Texas,Galveston,3.0
SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,LAKE CITY,Florida,Columbia,3.0
SANFORD MEDICAL CENTER BISMARCK,BISMARCK,North Dakota,Burleigh,2.0
